rows=8433
cols=3180
8392,921,-933
8392,494,-573
8392,854,-786
8392,1482,-623
8392,826,226
8392,1399,859
8392,1328,-880
8392,2823,-605
8392,1206,-570
8392,1438,-515
8392,1506,254
8392,1006,-30
8392,82,-999
8392,343,-953
8392,256,-808
8392,873,-854
8392,1061,-531
8392,841,312
8392,61,-912
8392,81,-800
8392,2140,896
8392,536,-827
8392,1227,-239
8392,880,685
8392,2526,-686
8392,6,-922
8392,786,-689
8392,438,-580
8392,1705,-961
8392,1282,-179
8392,265,-779
8392,1060,-956
8392,706,-875
8392,161,513
8392,213,-566
8392,850,-727
8392,912,361
8392,160,-702
8392,939,-704
8392,1190,36
8392,3009,546
8392,1028,263
8392,566,-434
8392,483,-1008
8392,942,-966
8392,987,-655
8392,1340,-61
8392,3059,543
8393,1118,-705
8393,1890,-978
8393,201,-924
8393,125,587
8393,1481,834
8393,1172,-701
8393,101,-867
8393,853,-551
8393,522,847
8393,1429,-744
8393,872,-879
8393,1461,-74
8393,1241,-1004
8393,440,-1018
8393,541,-957
8393,2900,-416
8393,1479,-783
8393,740,-896
8393,2416,-9
8393,775,-514
8393,1514,228
8393,2752,-824
8393,1352,-649
8393,570,-972
8393,86,-862
8393,2579,-494
8393,370,-619
8393,1455,-841
8393,2523,-398
8393,1815,-350
8393,305,-539
8393,2809,-762
8393,855,-720
8393,33,-71
8393,959,-588
8393,764,-730
8393,3088,-540
8393,688,-940
8393,665,44
8393,304,-931
8393,56,-632
8393,804,-567
8393,195,-620
8393,1434,-813
8393,1285,-768
8393,609,-878
8393,2960,-928
8394,1945,-568
8394,946,-400
8394,586,-759
8394,848,-227
8394,2803,-144
8394,457,-661
8394,1537,-94
8394,1081,680
8394,1025,-63
8394,1541,-910
8394,1436,59
8394,1574,892
8394,2340,-928
8394,173,272
8394,2685,-188
8394,215,-853
8395,996,840
8395,425,-870
8395,203,-685
8395,2084,-929
8395,128,-1016
8395,1974,-232
8395,2990,-517
8395,1027,-843
8395,2864,-451
8395,1307,-256
8395,43,-232
8395,934,-976
8395,1331,-861
8395,1471,-613
8395,961,-787
8395,949,-840
8395,204,-1007
8395,572,208
8395,1374,-917
8395,503,-356
8395,1009,-1010
8395,1652,-930
8395,1123,-647
8395,1637,-658
8395,412,-97
8395,2435,250
8395,909,-894
8395,207,-647
8395,2862,-969
8395,1020,-959
8395,2632,-778
8395,3052,574
8395,1235,734
8395,595,-589
8395,827,-799
8395,2184,-908
8395,662,-752
8395,2205,-1016
8395,651,-813
8395,96,827
8395,1436,691
8395,695,-67
8395,2769,889
8395,351,-161
8395,1583,-507
8395,73,-1022
8395,1192,-838
8395,1047,-615
8395,947,618
8395,1458,-880
8395,47,741
8395,1970,-759
8395,2635,-553
8395,620,473
8395,211,-742
8395,466,-776
8395,98,719
8395,142,-583
8395,239,871
8395,625,-962
8395,1219,487
8395,2325,-887
8395,307,-532
8395,1194,624
8395,903,-637
8395,179,-552
8395,1392,730
8395,1804,536
8395,614,-934
8395,1313,-1008
8395,398,-831
8395,2698,-647
8395,525,144
8395,1938,453
8395,1256,-65
8395,1300,-703
8395,1244,-222
8395,1001,136
8395,1671,369
8395,1983,-903
8395,2470,-588
8395,3051,-216
8395,2,798
8395,346,-683
8395,1810,-994
8395,752,-150
8395,1902,-685
8395,59,61
8395,325,294
8395,1007,-804
8395,1567,-569
8395,488,-811
8395,1551,-810
8395,158,23
8395,499,-942
8395,71,-564
8395,1351,-511
8395,956,756
8395,2582,-954
8395,786,-941
8395,602,319
8395,755,-889
8395,992,209
8395,702,-752
8395,2099,-691
8395,50,-873
